COUNTRY;YEAR;CODE;NDN;NDC;NDC per 1000 borns;NDN per 1000 borns;HE;PPV;RVC ;GNI;PBSF ;PB ;BR;PISF ;DD;PMS ;PFS ;HIV;LE ;TP;PPHIV 
Moco;2000;MCO2000;0;0;0;0;2684;80;Yes;90830;100;959,4;24,6;100;16041;38;28;50;60,1;39000;0,128205128205128
Andorra;2000;AND2000;0;0;0;0;1318;80;Yes;41010;100;847;11;100;139;44;32;10;81,2;77000;0,012987012987013
Saint Kitts and Nevis;2012;K2012;0;0;0;0;892;70;No;13710;72,2;764,5;13,9;92;202;12;0,6;270;66;55000;0,490909090909091
Saint Kitts and Nevis;2013;K2013;0;0;0;0;873;70;No;14540;72,2;758,45;13,79;92;204;12;0,6;270;66;55000;0,490909090909091
Moco;2012;MCO2012;0;0;0;0;6521;90;Yes;90830;100;739,83;18,97;100;18892;38;28;50;65,1;39000;0,128205128205128
Andorra;2012;AND2012;0;0;0;0;3414;90;Yes;41010;100;731,5;9,5;100;175;39;28;10;81,2;77000;0,012987012987013
Andorra;2013;AND2013;0;0;0;0;2948;90;Yes;43270;100;731,5;9,5;100;172;38;28;10;81,2;77000;0,012987012987013
Moco;2013;MCO2013;0;0;0;0;6993;90;Yes;90830;100;730,47;18,73;100;18986;38;28;50;65,1;39000;0,128205128205128
San Marino;2012;SMR2012;0;0;0;0;3877;12;No;6350;89,5;320,1;9,7;100;532;11;11;50;82;33000;0,151515151515152
San Marino;2000;SMR2000;0;0;0;0;2166;10;No;3470;89,5;320,1;9,7;100;457;11;11;50;80,62;33000;0,151515151515152
San Marino;2013;SMR2013;0;0;0;0;3847;12;No;6550;90;310,2;9,4;100;538;11;11;50;83,82;33000;0,151515151515152
Palau;2013;PLW2013;0;0;0;0;1008;99;Yes;9480;100;288,2;13,1;100;45;37,2;27;60;69,13;22000;0,272727272727273
Palau;2012;PLW2012;0;0;0;0;976;82;Yes;9630;100;279,4;12,7;100;45;37,2;27;60;69,13;22000;0,272727272727273
Congo;2000;COG2000;285;2160;0,68090257419001;0,089841311872293;22;5;Yes;480;14,6;3172260;39;13;9;10;2;200000;46,3;81340000;0,24588148512417
Brazil;2012;BRA2012;649;4329;1,37896104888957;0,206732668221143;1078;88;Yes;12280;81,6;3139320;15;84;24;21;12;48000;65,6;209288000;0,022934903100034
Brazil;2013;BRA2013;608;4201;1,33818788782284;0,193672515066957;1085;94;Yes;12730;82,1;3139320;15;85;24;20;12;48000;65,6;209288000;0,022934903100034
